human_gene,marker_class,marker_subclass,pathway_sources,n_external_sources,n_zebrafish_orthologs_in_all_genes
CDC45,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,3,1
CDC6,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
CDCA7,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
CHAF1B,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
DSCC1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
DTL,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
E2F8,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
EXO1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
FEN1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
GINS1,proliferation,S_phase,Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,1,1
GINS2,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
GINS3,proliferation,S_phase,Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,1,1
GMNN,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
HELLS,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
MCM10,proliferation,S_phase,Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,1,1
MCM2,proliferation,S_phase,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
MCM3,proliferation,S_phase,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
MCM4,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
MCM5,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
MCM6,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
MRPL36,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
