official_fine_cell_type,gene,n_independent_fish,mean_within_fish_log2cpm_difference,sd_within_fish_log2cpm_difference,t_statistic,p_value,fdr_bh
erythroblast,sptan1,21,1.7866938687961071,1.0618314414211187,7.710884777073069,2.0486850015666064e-07,5.836518485771532e-06
erythroblast,asb2b,21,1.78120408670606,1.933137178697738,4.222412483419253,0.0004182202549687645,0.0030550995302338563
erythroblast,tfdp2,21,1.7750170454057028,1.3926041491575794,5.840963475032764,1.0285138536312282e-05,0.00013818451309683029
erythroblast,ak3,21,1.7721100853250658,0.7659378895873582,10.60246361512653,1.1725311783855055e-09,1.4186191615554952e-07
erythroblast,dcun1d2a,21,1.7701254112200633,1.373016594490918,5.907964782820714,8.86969535559868e-06,0.00012271310745378205
erythroblast,ampd2a,21,1.768039304871348,1.4662676382770057,5.525712860819072,2.078502836106844e-05,0.0002460430067060168
erythroblast,drll.2,21,1.7661601534609077,1.6643424038023722,4.862919177062847,9.425443820777788e-05,0.0008759723957420007
erythroblast,si:ch73-299h12.2,21,1.765271777256206,1.3023562356099643,6.211427657239296,4.56690492421544e-06,6.956859333473105e-05
erythroblast,si:ch211-225h24.2,21,1.7594136533058604,1.3936261232143403,5.785372497479266,1.1634140365837857e-05,0.0001528652494907862
erythroblast,trim35-7-1,21,1.7521725303334317,1.5815578313852134,5.0769330665844965,5.7604393933457814e-05,0.000579104634505099
erythroblast,zgc:153431,21,1.7436403947998387,1.4483243349330854,5.516971510612718,2.1197781046193227e-05,0.00024948997125796276
erythroblast,col6a4a,21,1.7428879474805747,1.8784005750750277,4.251976949504999,0.0003902946545024132,0.0028846265749659767
erythroblast,thrab,21,1.7345306359395405,1.2967253890062336,6.12976193865101,5.454057792289975e-06,8.070769985516476e-05
erythroblast,mterf3,21,1.7169676082512293,1.717466705354905,4.581243995045969,0.00018107318206711848,0.001523847469328649
erythroblast,hsp70.3,21,1.7143451271632895,2.210377603117273,3.5541964872540643,0.0019889522650987216,0.011014716470121807
erythroblast,pmp22a,21,1.7123062471140957,1.7568389803228848,4.466415578338298,0.00023658103080777913,0.0018973104355509327
erythroblast,col5a2a,21,1.7111848821945774,1.3695447909876344,5.725723103269826,1.3284281223238227e-05,0.00017062465138555278
erythroblast,ndrg2,21,1.7075734294562193,1.1249149009247004,6.9561568512836836,9.414007542565701e-07,1.9245402155759312e-05
erythroblast,prodhb,21,1.7016902355944719,1.4684720260600488,5.310366268877105,3.3816512657700074e-05,0.00037080576529336594
erythroblast,ankhb,21,1.692520804428328,1.206539839217391,6.428386738237567,2.861391971396617e-06,4.7634883941302294e-05
erythroblast,cry3b,21,1.6904325828405011,1.5192994873832117,5.098754611856459,5.479505712388294e-05,0.000553702538561226
erythroblast,abcb6a,21,1.6882964820630137,1.5944816132720299,4.852201718842569,9.661629319830708e-05,0.0008932009353627713
erythroblast,sgk2a,21,1.6851405888869682,2.1765435598058125,3.5479576185950354,0.00201794130935649,0.01114825207857336
erythroblast,phlda2,21,1.6836876068115854,1.8742671391451924,4.116609496974933,0.0005356094977384991,0.003749539824050963
erythroblast,hsp70l,21,1.682810061703828,2.3122311308315746,3.3351356554124783,0.0032990717520673674,0.016767327439416124
erythroblast,mical3a,21,1.6808900413622319,1.7235397041405596,4.469178070534134,0.00023506249522724373,0.0018884156827406828
erythroblast,susd1,21,1.6794275377827301,1.2990285277132907,5.924507162002281,8.552014619421454e-06,0.0001194017919001667
erythroblast,bnip3lb,21,1.6570289150081285,1.7866296022830301,4.250159306692363,0.0003919562602100979,0.0028945679673927417
erythroblast,cxcl12a,21,1.656759790935023,1.758112256653562,4.31839725909778,0.0003341891748790516,0.0025253041237753744
erythroblast,LO018188.1,21,1.6538937413662669,1.7863646182692359,4.242747076219987,0.00039880598286708954,0.0029333088847073997
erythroblast,dipk2b,21,1.6521760065343802,1.6000404425539883,4.731893900911936,0.0001276259734441828,0.0011313145658937496
erythroblast,mak,21,1.6495536683831442,1.258685497892103,6.0056341007480425,7.154691866899171e-06,0.00010228711379279767
erythroblast,dcn,21,1.6458731808935465,1.569310209117231,4.806148836554846,0.00010746730219927716,0.0009749885700519738
erythroblast,hsp90aa1.2,21,1.6437946620521733,1.6949920667118967,4.444158538412094,0.0002491817610435454,0.001980712371005936
erythroblast,trim2a,21,1.6421315526367357,1.2201164979875023,6.167601334336094,5.022869705422594e-06,7.517863086103049e-05
erythroblast,zgc:113363,21,1.6319959672614415,1.4483612158102832,5.163591079490662,4.724213905925126e-05,0.0004898172964385851
erythroblast,rap1gap2a,21,1.6314762778808132,1.334074958208691,5.604155517582317,1.7429142388279995e-05,0.000213754368092294
erythroblast,cpox,21,1.6256963379641538,1.9242454159336495,3.871583356283348,0.0009497714181312481,0.006040097092357625
